"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Caris LeVert","SF (3.0)","57","1237",".140","1.3","3.62","18.2","7.3","4.3","2.3","0.3","1.9","3.5",2016,"brk"
"Chris McCullough","PF (5.0)","14","72",".089","-0.3","0.13","23.3","12.0","1.3","1.3","1.3","0.7","4.7",2016,"brk"
"Greivis Vasquez","PG (2.0)","3","39","-.082","-5.6","-0.07","8.7","2.5","6.2","1.2","1.2","1.2","7.5",2016,"brk"
"Isaiah Whitehead","PG (1.0)","73","1639","-.061","-5.0","-2.08","15.9","5.3","5.6","4.2","1.0","1.3","5.1",2016,"brk"
"Jeremy Lin","PG (1.0)","36","883",".146","1.5","2.68","28.4","7.3","10.0","4.7","0.8","2.2","4.3",2016,"brk"
"Joe Harris","SG (2.4)","52","1138",".039","-1.9","0.92","18.0","6.2","2.3","2.3","0.3","1.3","5.1",2016,"brk"
"Justin Hamilton","C (5.0)","64","1177",".074","-0.8","1.82","18.0","10.6","2.2","1.8","1.7","1.2","3.7",2016,"brk"
"K.J. McDaniels","SF (3.0)","20","294",".106","0.2","0.65","20.6","8.5","1.5","3.1","1.6","2.0","4.1",2016,"brk"
"Luis Scola","PF (4.0)","36","461",".082","-0.5","0.79","19.2","14.5","3.9","3.5","0.4","1.5","6.6",2016,"brk"
"Quincy Acy","PF (4.0)","32","510",".049","-1.6","0.52","19.7","10.1","1.7","1.8","1.3","1.3","5.5",2016,"brk"
"Randy Foye","SG (2.0)","69","1284",".036","-2.0","0.95","13.3","5.8","5.0","3.0","0.3","1.3","3.7",2016,"brk"
"Rondae Hollis-Jefferson","SF (3.0)","78","1762",".186","2.7","6.83","18.4","12.3","4.2","3.1","1.2","2.3","4.8",2016,"brk"
"Sean Kilpatrick","SG (2.0)","70","1754",".052","-1.5","1.90","25.1","7.7","4.3","3.7","0.2","1.3","3.2",2016,"brk"
"Spencer Dinwiddie","PG (1.0)","59","1334",".149","1.6","4.15","15.6","5.9","6.7","2.4","0.9","1.6","4.3",2016,"brk"
"Trevor Booker","PF (4.2)","71","1754",".148","1.5","5.40","19.4","15.7","3.8","3.4","0.8","2.0","4.2",2016,"brk"
"Yogi Ferrell","PG (1.0)","10","151","-.113","-6.6","-0.36","17.1","3.8","5.4","4.4","0.6","0.6","3.5",2016,"brk"
"Allen Crabbe","SG (2.0)","75","2197",".083","-0.5","3.80","21.6","7.1","2.6","1.7","0.8","1.0","3.7",2017,"brk"
"Caris LeVert","SG (3.0)","71","1864",".093","-0.2","3.61","22.1","6.7","7.7","3.9","0.6","2.1","4.1",2017,"brk"
"D'Angelo Russell","PG (1.0)","48","1234","-.026","-3.9","-0.67","28.9","7.4","9.7","5.7","0.7","1.4","3.6",2017,"brk"
"Dante Cunningham","C (5.0)","22","447",".098","-0.0","0.92","17.6","11.3","2.4","1.8","1.5","1.3","3.9",2017,"brk"
"DeMarre Carroll","SF (3.4)","73","2180",".109","0.3","4.96","21.6","10.5","3.2","2.3","0.7","1.3","3.6",2017,"brk"
