"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Mike Dunleavy","GF (1.6)","75","2336",".160","1.9","7.79","18.0","9.1","4.5","2.9","0.3","1.4","3.5",2003,"gsw"
"Nick Van Exel","PG (1.0)","39","1255",".012","-2.7","0.32","18.7","4.0","7.9","3.0","0.1","0.8","2.2",2003,"gsw"
"Popeye Jones","PF (4.0)","5","10","-.378","-14.8","-0.08","0.0","4.8","0.0","0.0","0.0","0.0","9.6",2003,"gsw"
"Rusty LaRue","G (1.0)","4","22","-.028","-3.9","-0.01","8.7","6.5","4.4","8.7","0.0","4.4","4.4",2003,"gsw"
"Sean Lampley","SF (3.0)","10","63",".268","5.3","0.35","25.9","8.4","1.5","2.3","0.8","0.0","1.5",2003,"gsw"
"Speedy Claxton","PG (1.0)","60","1595",".140","1.3","4.66","19.1","4.7","8.0","3.1","0.3","2.9","4.4",2003,"gsw"
"Troy Murphy","FC (4.5)","28","610",".058","-1.3","0.74","22.0","13.6","1.6","2.7","1.3","0.9","4.6",2003,"gsw"
"Adonal Foyle","C (5.0)","78","1700",".171","2.2","6.04","9.9","12.1","1.6","1.6","4.5","0.7","5.7",2004,"gsw"
"Andris Biedrins","C (5.0)","30","384",".196","3.0","1.57","13.6","14.8","1.5","1.5","3.0","1.5","10.9",2004,"gsw"
"Ansu Sesay","SF (4.0)","16","128",".089","-0.3","0.24","18.4","14.2","4.5","3.0","1.1","0.8","6.0",2004,"gsw"
"Baron Davis","PG (1.2)","28","988",".172","2.3","3.53","26.5","5.2","11.3","4.5","0.5","2.4","3.6",2004,"gsw"
"Calbert Cheaney","GF (2.5)","55","951",".017","-2.6","0.33","12.6","6.3","3.2","1.8","0.8","0.9","4.8",2004,"gsw"
"Clifford Robinson","FC (4.5)","42","1090","-.039","-4.3","-0.88","15.8","5.0","3.3","1.8","1.7","1.9","4.7",2004,"gsw"
"Dale Davis","C (5.0)","36","577",".110","0.3","1.32","9.3","12.7","1.9","1.7","2.7","1.1","6.6",2004,"gsw"
"Derek Fisher","PG (1.0)","74","2222",".099","-0.0","4.57","18.9","4.7","6.5","2.8","0.1","1.6","3.8",2004,"gsw"
"Eduardo Najera","FC (4.2)","42","610","-.008","-3.3","-0.10","13.8","9.3","2.9","2.5","0.8","1.4","5.6",2004,"gsw"
