name,pos,gp,min,wp48,pop48,wins,pts,reb,ast,to,blk,stl,pf,year,team,draft_rtg,draftyear,_merge
"Dennis Smith, Jr.",PG (1.2),69,2049,-.052999999,-4.6999998,-2.25,24.6,6.0999999,8.3999996,4.5999999,.40000001,1.7,3.5999999,2017,dal,88,2017,matched (3)
Derrick White,PG (1.0),17,139,.255,4.8000002,.74000001,18.6,9,3.0999999,2.0999999,1,1.4,2.8,2017,sas,88,2017,matched (3)
Devin Robinson,GF (3.0),1,13,.28200001,5.6999998,.079999998,7.4000001,18.5,0,0,0,3.7,7.4000001,2017,was,56,2017,matched (3)
Devonte' Graham,PG (1.0),46,676,.035999998,-2,.50999999,15.4,4.5,8.6000004,2.0999999,.1,1.6,3.4000001,2018,cha,73,2018,matched (3)
Devyn Marble,GF (3.0),16,208,.026000001,-2.3,.11,8.5,7.1999998,3.9000001,2.0999999,.5,2.0999999,3.2,2014,orl,38.900002,2014,matched (3)
Dillon Brooks,SF (3.0),82,2350,.023,-2.4000001,1.12,18.299999,5.1999998,2.8,2.5,.30000001,1.5,4.8000002,2017,mem,50,2017,matched (3)
Donovan Mitchell,SG (1.6),79,2638,.048999999,-1.6,2.7,29.4,5.4000001,5.3000002,3.9000001,.5,2.0999999,3.9000001,2017,uth,85,2017,matched (3)
Donte DiVincenzo,SG (2.0),27,411,.094999999,-.1,.81,15.3,7.5999999,3.5999999,2.2,.69999999,1.5,4.4000001,2018,mil,76,2018,matched (3)
Doug McDermott,SF (3.0),36,321,-.063000001,-5,-.41999999,16.299999,6.4000001,.89999998,2.5,.1,.60000002,4.3000002,2014,chi,81.5,2014,matched (3)
Dwayne Bacon,SF (3.0),53,713,.001,-3,.02,11.8,8.3000002,2.5999999,1.5,.1,1.1,3.0999999,2017,cha,35,2017,matched (3)
Dwight Powell,PF (5.0),5,9,.30899999,6.5,.059999999,48,5.3000002,0,10.7,0,10.7,5.3000002,2014,bos,6,2014,matched (3)
Dwight Powell,PF (4.0),24,227,.02,-2.5,.090000004,17.1,10.4,1.9,1.9,1.3,1.5,8.1999998,2014,dal,6,2014,matched (3)
